"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"85","arrest","Pathway1","not mentioned","Fixed","0.37","[0.15; 0.89]",-2.21,0.027,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"86","arrest","Pathway1","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"87","arrest","Gendered","Yes","Fixed","0.57","[0.45; 0.73]",-4.648,0,8,1,"[1;1.76]",0,"[0;0.68]",0.26,"[0;0.66]",0.07,"[0;0.44]",5.28,0.626
"88","arrest","Gendered","Yes","Random","0.54","[0.41; 0.72]",-5,0,8,1,"[1;1.76]",0,"[0;0.68]",0.26,"[0;0.66]",0.07,"[0;0.44]",5.28,0.626
"89","arrest","Gendered","No","Fixed","0.57","[0.51; 0.63]",-10.421,0,12,3.23,"[2.6;4.02]",0.9,"[0.85;0.94]",0.67,"[0.33;1.26]",0.45,"[0.11;1.59]",115.08,0
"90","arrest","Gendered","No","Random","0.64","[0.41; 1.00]",-2,0,12,3.23,"[2.6;4.02]",0.9,"[0.85;0.94]",0.67,"[0.33;1.26]",0.45,"[0.11;1.59]",115.08,0
"91","arrest","Gendered","Partially","Fixed","0.55","[0.41;   0.75]",-3.788,0,3,1.56,"[1;2.92]",0.59,"[0;0.88]",0.33,"[0;2.64]",0.11,"[0;6.97]",4.87,0.088
"92","arrest","Gendered","Partially","Random","0.52","[0.18;   1.51]",-3,0,3,1.56,"[1;2.92]",0.59,"[0;0.88]",0.33,"[0;2.64]",0.11,"[0;6.97]",4.87,0.088
"93","arrest","focus_Simon","Complex Needs","Fixed","0.39","[0.34; 0.46]",-12.256,0,6,2.97,"[2.13;4.15]",0.89,"[0.78;0.94]",0.51,"[0.25;1.46]",0.26,"[0.06;2.14]",44.22,0
"94","arrest","focus_Simon","Complex Needs","Random","0.53","[0.28; 0.98]",-3,0,6,2.97,"[2.13;4.15]",0.89,"[0.78;0.94]",0.51,"[0.25;1.46]",0.26,"[0.06;2.14]",44.22,0
"95","arrest","focus_Simon","Cognitive Skills","Fixed","0.57","[0.39;      0.84]",-2.833,0.005,3,1.49,"[1;2.79]",0.55,"[0;0.87]",0.82,"[0;7.54]",0.68,"[0;56.82]",4.45,0.108
"96","arrest","focus_Simon","Cognitive Skills","Random","0.38","[0.04;      4.08]",-2,0,3,1.49,"[1;2.79]",0.55,"[0;0.87]",0.82,"[0;7.54]",0.68,"[0;56.82]",4.45,0.108
"97","arrest","focus_Simon","Substance Use","Fixed","0.67","[0.56; 0.80]",-4.321,0,9,1.45,"[1;2.11]",0.52,"[0;0.78]",0.41,"[0;0.92]",0.17,"[0;0.86]",16.76,0.033
"98","arrest","focus_Simon","Substance Use","Random","0.68","[0.47; 1.00]",-2,0,9,1.45,"[1;2.11]",0.52,"[0;0.78]",0.41,"[0;0.92]",0.17,"[0;0.86]",16.76,0.033
"99","arrest","focus_Simon","Parenting","Fixed","0.51","[0.20; 1.32]",-1.393,0.164,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"100","arrest","focus_Simon","Parenting","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"101","arrest","focus_Simon","Employment","Fixed","0.90","[0.74; 1.09]",-1.106,0.269,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"102","arrest","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"103","arrest","focus_Simon","prostitution","Fixed","0.20","[0.08; 0.51]",-3.397,0.001,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"104","arrest","focus_Simon","prostitution","Random","","",-3,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"105","arrest","focus_Simon","Mental Health","Fixed","0.68","[0.37; 1.27]",-1.198,0.231,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"106","arrest","focus_Simon","Mental Health","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"107","arrest","focus_Simon","Education","Fixed","0.37","[0.15; 0.89]",-2.21,0.027,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"108","arrest","focus_Simon","Education","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"109","arrest","approach","Individual","Fixed","0.81","[0.59;   1.13]",-1.243,0.214,3,1.48,"[1;2.77]",0.55,"[0;0.87]",0.4,"[0;3.35]",0.16,"[0;11.21]",4.4,0.111
"110","arrest","approach","Individual","Random","0.81","[0.23;   2.81]",-1,1,3,1.48,"[1;2.77]",0.55,"[0;0.87]",0.4,"[0;3.35]",0.16,"[0;11.21]",4.4,0.111
"111","arrest","approach","unknown","Fixed","0.32","[0.27; 0.38]",-13.852,0,6,1.9,"[1.25;2.88]",0.72,"[0.36;0.88]",0.5,"[0.14;1.48]",0.25,"[0.02;2.2]",17.99,0.003
"112","arrest","approach","unknown","Random","0.41","[0.22; 0.75]",-4,0,6,1.9,"[1.25;2.88]",0.72,"[0.36;0.88]",0.5,"[0.14;1.48]",0.25,"[0.02;2.2]",17.99,0.003
"113","arrest","approach","Group","Fixed","0.74","[0.65; 0.83]",-4.923,0,14,1.48,"[1.09;2]",0.54,"[0.16;0.75]",0.49,"[0.09;0.83]",0.24,"[0.01;0.69]",28.43,0.008
"114","arrest","approach","Group","Random","0.62","[0.46; 0.84]",-3,0,14,1.48,"[1.09;2]",0.54,"[0.16;0.75]",0.49,"[0.09;0.83]",0.24,"[0.01;0.69]",28.43,0.008
"115","arrest","Therapeutic","Not Therapeutic","Fixed","0.75","[0.66; 0.85]",-4.373,0,14,1.47,"[1.08;1.98]",0.53,"[0.15;0.75]",0.55,"[0.1;0.96]",0.3,"[0.01;0.91]",27.94,0.009
"116","arrest","Therapeutic","Not Therapeutic","Random","0.62","[0.44; 0.87]",-3,0,14,1.47,"[1.08;1.98]",0.53,"[0.15;0.75]",0.55,"[0.1;0.96]",0.3,"[0.01;0.91]",27.94,0.009
"117","arrest","Therapeutic","unknown","Fixed","0.27","[0.23; 0.33]",-13.984,0,2,1,"[NA;NA]",0,"[NA;NA]",0.06,"[NA;NA]",0,"[NA;NA]",0.14,0.712
"118","arrest","Therapeutic","unknown","Random","0.27","[0.16; 0.46]",-32,0,2,1,"[NA;NA]",0,"[NA;NA]",0.06,"[NA;NA]",0,"[NA;NA]",0.14,0.712
"119","arrest","Therapeutic","Therapeutic","Fixed","0.65","[0.53; 0.79]",-4.413,0,7,1.5,"[1;2.29]",0.56,"[0;0.81]",0.36,"[0;0.94]",0.13,"[0;0.88]",13.53,0.035
"120","arrest","Therapeutic","Therapeutic","Random","0.62","[0.41; 0.93]",-3,0,7,1.5,"[1;2.29]",0.56,"[0;0.81]",0.36,"[0;0.94]",0.13,"[0;0.88]",13.53,0.035
"121","arrest","age_cat","Less Than 34","Fixed","0.39","[0.34; 0.45]",-12.933,0,10,2.39,"[1.8;3.17]",0.82,"[0.69;0.9]",0.57,"[0.24;1.19]",0.33,"[0.06;1.42]",51.37,0
"122","arrest","age_cat","Less Than 34","Random","0.46","[0.29; 0.73]",-4,0,10,2.39,"[1.8;3.17]",0.82,"[0.69;0.9]",0.57,"[0.24;1.19]",0.33,"[0.06;1.42]",51.37,0
"123","arrest","age_cat","34 and Older","Fixed","0.77","[0.68; 0.88]",-3.921,0,10,1.49,"[1.04;2.12]",0.55,"[0.08;0.78]",0.37,"[0.05;0.79]",0.14,"[0;0.63]",19.89,0.019
"124","arrest","age_cat","34 and Older","Random","0.73","[0.53; 0.99]",-2,0,10,1.49,"[1.04;2.12]",0.55,"[0.08;0.78]",0.37,"[0.05;0.79]",0.14,"[0;0.63]",19.89,0.019
"125","arrest","studylength_cat","More than 6 Months","Fixed","0.80","[0.69; 0.93]",-2.872,0.004,5,1.23,"[1;2.01]",0.34,"[0;0.75]",0.34,"[0;1.51]",0.12,"[0;2.3]",6.1,0.192
"126","arrest","studylength_cat","More than 6 Months","Random","0.69","[0.45; 1.04]",-3,0,5,1.23,"[1;2.01]",0.34,"[0;0.75]",0.34,"[0;1.51]",0.12,"[0;2.3]",6.1,0.192
"127","arrest","studylength_cat","Less than 6 Months","Fixed","0.61","[0.49; 0.77]",-4.167,0,10,1.52,"[1.07;2.16]",0.57,"[0.12;0.79]",0.62,"[0.12;1.31]",0.39,"[0.01;1.73]",20.82,0.013
"128","arrest","studylength_cat","Less than 6 Months","Random","0.59","[0.37; 0.96]",-2,0,10,1.52,"[1.07;2.16]",0.57,"[0.12;0.79]",0.62,"[0.12;1.31]",0.39,"[0.01;1.73]",20.82,0.013
"129","arrest","studylength_cat2","Less than 12 Months","Fixed","0.63","[0.52; 0.78]",-4.406,0,11,1.45,"[1.03;2.04]",0.53,"[0.06;0.76]",0.59,"[0.06;1.16]",0.34,"[0;1.35]",21.07,0.021
"130","arrest","studylength_cat2","Less than 12 Months","Random","0.61","[0.40; 0.92]",-3,0,11,1.45,"[1.03;2.04]",0.53,"[0.06;0.76]",0.59,"[0.06;1.16]",0.34,"[0;1.35]",21.07,0.021
