"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"68","arrest","Diversion","prison","Random","0.61","[0.48; 0.77]",-4,0,21,2.45,"[2.03;2.97]",0.83,"[0.76;0.89]",0.49,"[0.24;0.72]",0.24,"[0.06;0.52]",120.35,0
"69","new_conv","location_Simon","institution","Random","0.88","[0.48; 1.60]",-1,1,7,2.03,"[1.4;2.95]",0.76,"[0.49;0.89]",0.58,"[0.26;1.41]",0.33,"[0.07;2]",24.72,0
"70","new_conv","location_Simon","community","Random","1.09","[0.15;     7.81]",0,1,3,3.43,"[2.14;5.49]",0.91,"[0.78;0.97]",0.72,"[0.27;5.25]",0.52,"[0.07;27.55]",23.51,0
"71","new_conv","location_Simon","both","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"72","new_conv","Pathway1","institution","Random","0.88","[0.48; 1.60]",-1,1,7,2.03,"[1.4;2.95]",0.76,"[0.49;0.89]",0.58,"[0.26;1.41]",0.33,"[0.07;2]",24.72,0
"73","new_conv","Pathway1","community","Random","1.09","[0.15;     7.81]",0,1,3,3.43,"[2.14;5.49]",0.91,"[0.78;0.97]",0.72,"[0.27;5.25]",0.52,"[0.07;27.55]",23.51,0
"74","new_conv","Pathway1","both","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"75","new_conv","Gendered","No","Random","1.85","[1.18; 2.89]",4,0,4,1.22,"[1;2.05]",0.33,"[0;0.76]",0.18,"[0;0.94]",0.03,"[0;0.89]",4.46,0.216
"76","new_conv","Gendered","Yes","Random","0.56","[0.45; 0.70]",-7,0,5,1,"[1;2.19]",0,"[0;0.79]",0.07,"[0;0.35]",0.01,"[0;0.12]",1.08,0.897
"77","new_conv","Gendered","Partially","Random","0.67","[0.00; 130.80]",-1,1,2,2.48,"[1.22;5.04]",0.84,"[0.33;0.96]",0.51,"[NA;NA]",0.26,"[NA;NA]",6.14,0.013
"78","new_conv","focus_Simon","Cognitive Skills","Random","1.49","[0.79; 2.80]",2,0,5,2.18,"[1.41;3.36]",0.79,"[0.5;0.91]",0.44,"[0.18;1.42]",0.19,"[0.03;2.01]",19,0.001
"79","new_conv","focus_Simon","Complex Needs","Random","0.71","[0.23;   2.22]",-1,0,3,1.44,"[1;2.68]",0.52,"[0;0.86]",0.34,"[0;2.8]",0.11,"[0;7.86]",4.15,0.126
"80","new_conv","focus_Simon","Substance Use","Random","0.47","[0.14; 1.66]",-8,0,2,1,"[NA;NA]",0,"[NA;NA]",0.05,"[NA;NA]",0,"[NA;NA]",0.25,0.619
"81","new_conv","focus_Simon","Parenting","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"82","new_conv","approach","Group","Random","0.87","[0.51; 1.49]",-1,1,8,1.92,"[1.34;2.74]",0.73,"[0.44;0.87]",0.57,"[0.25;1.3]",0.32,"[0.06;1.68]",25.72,0.001
"83","new_conv","approach","Individual","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"84","new_conv","approach","unknown","Random","1.10","[0.00; 19590.82]",0,1,2,3.27,"[1.72;6.2]",0.91,"[0.66;0.97]",1,"[NA;NA]",1.01,"[NA;NA]",10.68,0.001
"85","new_conv","Therapeutic","Not Therapeutic","Random","1.25","[0.71; 2.18]",1,0,7,2.22,"[1.55;3.17]",0.8,"[0.59;0.9]",0.54,"[0.2;1.39]",0.29,"[0.04;1.93]",29.59,0
"86","new_conv","Therapeutic","Therapeutic","Random","0.53","[0.38; 0.75]",-6,0,4,1,"[1;2.56]",0,"[0;0.85]",0.11,"[0;0.7]",0.01,"[0;0.49]",1.59,0.663
"87","new_conv","age_cat","Less Than 34","Random","1.02","[0.39;  2.69]",0,1,4,3.09,"[2.04;4.68]",0.9,"[0.76;0.95]",0.55,"[0.26;2.26]",0.3,"[0.07;5.13]",28.68,0
"88","new_conv","age_cat","34 and Older","Random","0.47","[0.36; 0.62]",-12,0,3,1,"[1;3.1]",0,"[0;0.9]",0.03,"[0;0.57]",0,"[0;0.33]",0.25,0.884
"89","new_conv","studylength_cat","Less than 6 Months","Random","0.45","[0.30;  0.68]",-8,0,3,1,"[1;3.1]",0,"[0;0.9]",0.05,"[0;0.98]",0,"[0;0.97]",0.31,0.858
"90","new_conv","studylength_cat","More than 6 Months","Random","0.59","[0.10; 3.44]",-4,0,2,1,"[NA;NA]",0,"[NA;NA]",0.1,"[NA;NA]",0.01,"[NA;NA]",0.62,0.433
"91","new_conv","studylength_cat2","Less than 12 Months","Random","0.54","[0.41; 0.69]",-7,0,5,1,"[1;2.19]",0,"[0;0.79]",0.1,"[0;0.47]",0.01,"[0;0.23]",1.72,0.788
"92","new_conv","Diversion","prison","Random","0.90","[0.58; 1.40]",-1,1,11,2.44,"[1.87;3.19]",0.83,"[0.71;0.9]",0.58,"[0.33;1.11]",0.34,"[0.11;1.23]",59.67,0
"93","rtj","location_Simon","institution","Random","0.43","[0.30; 0.63]",-5,0,10,2.03,"[1.49;2.76]",0.76,"[0.55;0.87]",0.44,"[0.2;0.91]",0.19,"[0.04;0.82]",37,0
"94","rtj","location_Simon","community","Random","0.52","[0.25; 1.09]",-2,0,5,1.76,"[1.09;2.83]",0.68,"[0.16;0.87]",0.48,"[0.09;1.66]",0.23,"[0.01;2.77]",12.37,0.015
"95","rtj","location_Simon","both","Random","0.64","[0.13;  3.10]",-1,0,5,2.35,"[1.54;3.57]",0.82,"[0.58;0.92]",1.06,"[0.48;3.38]",1.13,"[0.23;11.41]",22.02,0
"96","rtj","Pathway1","institution","Random","0.46","[0.31; 0.68]",-4,0,11,1.99,"[1.48;2.68]",0.75,"[0.54;0.86]",0.52,"[0.23;1.03]",0.27,"[0.05;1.07]",39.75,0
"97","rtj","Pathway1","community","Random","0.67","[0.21;   2.16]",-1,0,3,1.32,"[1;2.39]",0.42,"[0;0.83]",0.36,"[0;3.13]",0.13,"[0;9.79]",3.46,0.177
"98","rtj","Pathway1","diversion","Random","0.37","[0.00; 475.02]",-2,0,2,1.93,"[1;4.08]",0.73,"[0;0.94]",0.65,"[NA;NA]",0.42,"[NA;NA]",3.74,0.053
"99","rtj","Pathway1","both","Random","0.50","[0.06;   4.41]",-1,0,4,2.69,"[1.73;4.2]",0.86,"[0.66;0.94]",1.14,"[0.52;4.62]",1.29,"[0.27;21.32]",21.76,0
"100","rtj","Gendered","Yes","Random","0.30","[0.18; 0.51]",-5,0,9,1.46,"[1;2.13]",0.53,"[0.01;0.78]",0.52,"[0;1.16]",0.27,"[0;1.33]",17.12,0.029
"101","rtj","Gendered","Partially","Random","0.39","[0.11; 1.43]",-9,0,2,1,"[NA;NA]",0,"[NA;NA]",0.04,"[NA;NA]",0,"[NA;NA]",0.17,0.679
"102","rtj","Gendered","No","Random","0.72","[0.45; 1.14]",-2,0,9,2.21,"[1.61;3.02]",0.79,"[0.62;0.89]",0.51,"[0.27;1.08]",0.26,"[0.07;1.17]",38.93,0
"103","rtj","focus_Simon","Parenting","Random","","",-4,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"104","rtj","focus_Simon","Cognitive Skills","Random","0.71","[0.23;   2.18]",-1,0,3,1.27,"[1;2.27]",0.38,"[0;0.81]",0.38,"[0;3.36]",0.14,"[0;11.31]",3.23,0.199
"105","rtj","focus_Simon","Substance Use","Random","0.40","[0.26; 0.63]",-5,0,11,1.51,"[1.08;2.12]",0.56,"[0.14;0.78]",0.57,"[0.12;1.15]",0.33,"[0.02;1.33]",22.9,0.011
"106","rtj","focus_Simon","Complex Needs","Random","0.57","[0.10;  3.15]",-1,0,4,2.43,"[1.52;3.88]",0.83,"[0.57;0.93]",0.86,"[0.35;3.65]",0.74,"[0.12;13.31]",17.67,0.001
"107","rtj","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"108","rtj","approach","unknown","Random","0.46","[0.02;       13.41]",-1,0,3,3.33,"[2.06;5.37]",0.91,"[0.76;0.97]",1.22,"[0.55;8.29]",1.5,"[0.3;68.71]",22.13,0
"109","rtj","approach","Individual","Random","0.48","[0.08;    2.99]",-2,0,3,1.67,"[1;3.12]",0.64,"[0;0.9]",0.59,"[0;4.62]",0.35,"[0;21.36]",5.57,0.062
"110","rtj","approach","Group","Random","0.48","[0.33; 0.68]",-4,0,14,1.99,"[1.53;2.59]",0.75,"[0.57;0.85]",0.53,"[0.25;0.95]",0.28,"[0.06;0.91]",51.45,0
"111","rtj","Therapeutic","unknown","Random","0.20","[0.13; 0.32]",-45,0,2,1,"[NA;NA]",0,"[NA;NA]",0,"[NA;NA]",0,"[NA;NA]",0.01,0.927
"112","rtj","Therapeutic","Therapeutic","Random","0.46","[0.30; 0.71]",-5,0,6,1.3,"[1;2.07]",0.41,"[0;0.77]",0.31,"[0;0.96]",0.09,"[0;0.92]",8.46,0.132
"113","rtj","Therapeutic","Not Therapeutic","Random","0.55","[0.32; 0.92]",-3,0,12,2.17,"[1.66;2.85]",0.79,"[0.64;0.88]",0.73,"[0.41;1.36]",0.54,"[0.17;1.84]",51.99,0
"114","rtj","age_cat","Less Than 34","Random","0.64","[0.24; 1.71]",-1,0,7,2.1,"[1.46;3.04]",0.77,"[0.53;0.89]",0.95,"[0.44;2.33]",0.9,"[0.19;5.42]",26.58,0
"115","rtj","age_cat","34 and Older","Random","0.45","[0.33; 0.62]",-6,0,11,1.85,"[1.36;2.51]",0.71,"[0.46;0.84]",0.36,"[0.16;0.72]",0.13,"[0.02;0.52]",34.15,0
"116","rtj","studylength_cat","More than 6 Months","Random","0.64","[0.25; 1.64]",-1,0,6,2.12,"[1.43;3.16]",0.78,"[0.51;0.9]",0.78,"[0.34;2.16]",0.61,"[0.11;4.66]",22.53,0
"117","rtj","studylength_cat","Less than 6 Months","Random","0.48","[0.28; 0.85]",-3,0,8,1.82,"[1.26;2.63]",0.7,"[0.37;0.86]",0.53,"[0.18;1.26]",0.28,"[0.03;1.59]",23.24,0.002
"118","rtj","studylength_cat2","More than 12 Months","Random","0.60","[0.17;  2.10]",-1,0,5,2.37,"[1.56;3.59]",0.82,"[0.59;0.92]",0.88,"[0.4;2.81]",0.77,"[0.16;7.92]",22.38,0
"119","rtj","studylength_cat2","Less than 12 Months","Random","0.52","[0.32; 0.85]",-3,0,9,1.71,"[1.2;2.43]",0.66,"[0.3;0.83]",0.51,"[0.16;1.14]",0.26,"[0.02;1.3]",23.34,0.003
"120","rtj","Diversion","prison","Random","0.49","[0.34; 0.71]",-4,0,18,2.11,"[1.69;2.64]",0.78,"[0.65;0.86]",0.63,"[0.37;1.02]",0.4,"[0.13;1.04]",75.81,0
"121","rtj","Diversion","diversion","Random","0.37","[0.00; 475.02]",-2,0,2,1.93,"[1;4.08]",0.73,"[0;0.94]",0.65,"[NA;NA]",0.42,"[NA;NA]",3.74,0.053
"122","SMS","location_Simon","institution","Random","0.59","[0.37; 0.92]",-3,0,10,2.15,"[1.6;2.91]",0.78,"[0.61;0.88]",0.58,"[0.29;1.17]",0.34,"[0.09;1.37]",41.77,0
"123","SMS","location_Simon","community","Random","0.69","[0.45; 1.07]",-2,0,12,4.06,"[3.36;4.91]",0.94,"[0.91;0.96]",0.65,"[0.37;1.21]",0.42,"[0.13;1.45]",181.6,0
"124","SMS","location_Simon","both","Random","0.99","[0.60;  1.66]",0,1,3,1,"[1;3.1]",0,"[0;0.9]",0.18,"[0;2.87]",0.03,"[0;8.22]",0.52,0.77
"125","SMS","Pathway1","institution","Random","0.58","[0.37; 0.89]",-3,0,10,2.12,"[1.57;2.87]",0.78,"[0.59;0.88]",0.56,"[0.28;1.12]",0.31,"[0.08;1.25]",40.59,0
"126","SMS","Pathway1","community","Random","0.78","[0.50; 1.22]",-1,0,12,4.12,"[3.41;4.97]",0.94,"[0.91;0.96]",0.67,"[0.37;1.26]",0.45,"[0.14;1.59]",186.28,0
"127","SMS","Pathway1","diversion","Random","0.55","[0.13; 2.30]",-5,0,2,1,"[NA;NA]",0,"[NA;NA]",0.05,"[NA;NA]",0,"[NA;NA]",0.2,0.651
"128","SMS","Pathway1","both","Random","","",-1,1,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"129","SMS","Gendered","No","Random","0.75","[0.49; 1.15]",-1,0,14,3.96,"[3.31;4.73]",0.94,"[0.91;0.96]",0.7,"[0.43;1.22]",0.5,"[0.18;1.49]",203.76,0
"130","SMS","Gendered","Yes","Random","0.53","[0.40; 0.69]",-5,0,10,1.06,"[1;1.42]",0.1,"[0;0.51]",0.31,"[0;0.68]",0.09,"[0;0.46]",10.03,0.348
"131","SMS","Gendered","Partially","Random","","",0,1,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"132","SMS","focus_Simon","Cognitive Skills","Random","0.78","[0.37; 1.64]",-1,0,8,2.86,"[2.14;3.82]",0.88,"[0.78;0.93]",0.85,"[0.39;2.06]",0.73,"[0.15;4.23]",57.26,0
"133","SMS","focus_Simon","Complex Needs","Random","0.54","[0.21; 1.41]",-2,0,4,4.98,"[3.63;6.83]",0.96,"[0.92;0.98]",0.51,"[0.28;1.98]",0.26,"[0.08;3.93]",74.31,0
"134","SMS","focus_Simon","Substance Use","Random","0.60","[0.43; 0.85]",-3,0,12,1.72,"[1.27;2.34]",0.66,"[0.38;0.82]",0.45,"[0.2;0.86]",0.21,"[0.04;0.74]",32.68,0.001
